,gamma,alpha beta,alpha beta prime
dc1,0.03488372093023256,0.046948356807511735,0.07142857142857142
va3,0.06395348837209303,0.05164319248826291,0.031512605042016806
dc3,0.06395348837209303,0.018779342723004695,0.05882352941176471
dp1m,0.05232558139534884,0.046948356807511735,0.029411764705882356
vc3l,0.040697674418604654,0.03286384976525821,0.03571428571428571
va6,0.040697674418604654,0.02816901408450704,0.03571428571428571
da1,0.03488372093023256,0.02816901408450704,0.031512605042016806
va5,0.029069767441860465,0.03286384976525821,0.029411764705882356
va2,0.040697674418604654,0.03286384976525821,0.01680672268907563
vl2p,0.005813953488372093,0.05164319248826291,0.0273109243697479
dc2,0.023255813953488372,0.023474178403755867,0.037815126050420166
dl5,0.01744186046511628,0.018779342723004695,0.04831932773109244
dm1,0.040697674418604654,0.023474178403755867,0.014705882352941178
dm6,0.03488372093023256,0.018779342723004695,0.025210084033613446
vl2a,0.011627906976744186,0.03286384976525821,0.031512605042016806
vm2,0.029069767441860465,0.042253521126760556,0.004201680672268907
dm5,0.03488372093023256,0.018779342723004695,0.018907563025210083
va1v,0.029069767441860465,0.01408450704225352,0.029411764705882356
va7m,0.03488372093023256,0.018779342723004695,0.01680672268907563
vm5v,0.029069767441860465,0.01408450704225352,0.0273109243697479
vm3,0.040697674418604654,0.023474178403755867,0.004201680672268907
va1d,0.01744186046511628,0.018779342723004695,0.031512605042016806
dl1,0.011627906976744186,0.009389671361502348,0.03991596638655462
dc4,0.01744186046511628,0.023474178403755867,0.018907563025210083
vm5d,0.011627906976744186,0.023474178403755867,0.023109243697478993
dp1l,0.005813953488372093,0.03755868544600939,0.014705882352941178
vc3m,0.023255813953488372,0.009389671361502348,0.02100840336134454
dl2v,0.01744186046511628,0.018779342723004695,0.014705882352941178
dm2,0.011627906976744186,0.018779342723004695,0.01680672268907563
dl2d,0.01744186046511628,0.018779342723004695,0.01050420168067227
dm3,0.01744186046511628,0.018779342723004695,0.01050420168067227
vm4,0.011627906976744186,0.023474178403755867,0.01050420168067227
vc5,0.005813953488372093,0.023474178403755867,0.014705882352941178
vc2,0.011627906976744186,0.023474178403755867,0.004201680672268907
d,0.011627906976744186,0.009389671361502348,0.01680672268907563
vc4,0.01744186046511628,0.009389671361502348,0.01050420168067227
dl3,0.011627906976744186,0.004694835680751174,0.018907563025210083
va4,0.011627906976744186,0.01408450704225352,0.008403361344537815
vm7d,0.011627906976744186,0.004694835680751174,0.012605042016806723
vm1,0.0,0.01408450704225352,0.012605042016806723
vc1,0.005813953488372093,0.01408450704225352,0.0063025210084033615
va7l,0.005813953488372093,0.009389671361502348,0.01050420168067227
vm7v,0.0,0.009389671361502348,0.008403361344537815
da4l,0.005813953488372093,0.0,0.01050420168067227
dm4,0.0,0.004694835680751174,0.01050420168067227
dl4,0.005813953488372093,0.0,0.0063025210084033615
vl1,0.0,0.004694835680751174,0.004201680672268907
v,0.0,0.004694835680751174,0.0021008403361344537
da3,0.0,0.004694835680751174,0.0021008403361344537
da2,0.0,0.004694835680751174,0.0
da4m,0.0,0.0,0.0021008403361344537
