,Neuprint,Caron_2013,Tatsuya Orco -/-,Tatsuya Control,Neuprint alpha beta,Neuprint alpha beta prime,Neuprint gamma
dp1m,0.05105105105105105,0.0330188679245283,0.03868194842406877,0.05196629213483146,0.06972586412395711,0.05784469096671949,0.03315713599231138
dc1,0.036036036036036036,0.05188679245283019,0.05873925501432664,0.054775280898876406,0.04052443384982122,0.03724247226624406,0.030033637674195098
dl1,0.032699366032699365,0.04716981132075471,0.030085959885386815,0.0449438202247191,0.0265196662693683,0.03328050713153724,0.03868332532436329
dc3,0.02302302302302302,0.05345911949685535,0.05730659025787965,0.04073033707865168,0.015196662693682956,0.010301109350237718,0.03387794329649207
da1,0.028250472694917136,0.0550314465408805,0.0329512893982808,0.037921348314606744,0.0199642431466031,0.0213946117274168,0.037722248918789045
vc3l,0.029585140696251802,0.04402515723270441,0.03438395415472779,0.02949438202247191,0.03754469606674613,0.03565768621236133,0.02186448822681403
dm1,0.03937270603937271,0.01729559748427673,0.022922636103151862,0.02247191011235955,0.056019070321811686,0.05071315372424722,0.02162421912542047
vm5d,0.02891780669558447,0.040880503144654086,0.01862464183381089,0.026685393258426966,0.022050059594755665,0.02694136291600634,0.035559827006247
vl2p,0.02880658436213992,0.031446540880503145,0.028653295128939826,0.021067415730337078,0.022646007151370683,0.03328050713153724,0.032436328688130706
dm6,0.028361695028361694,0.031446540880503145,0.027220630372492834,0.021067415730337078,0.0399284862932062,0.030110935023771792,0.019461797212878423
va6,0.023912801690579466,0.040880503144654086,0.03581661891117478,0.026685393258426966,0.01698450536352801,0.0213946117274168,0.030994714079769344
dp1l,0.03281058836614392,0.014150943396226414,0.015759312320916905,0.016853932584269662,0.03545887961859357,0.040412044374009505,0.02835175396444017
dc2,0.023912801690579466,0.026729559748427674,0.0329512893982808,0.025280898876404494,0.01489868891537545,0.030903328050713157,0.029072561268620855
va3,0.02302302302302302,0.023584905660377357,0.04011461318051576,0.032303370786516857,0.022348033373063174,0.01584786053882726,0.026429601153291685
va2,0.02914025136247358,0.014150943396226414,0.024355300859598854,0.02247191011235955,0.03873659117997617,0.03169572107765452,0.02138395002402691
dm2,0.029918807696585472,0.011006289308176102,0.015759312320916905,0.016853932584269662,0.05035756853396901,0.03486529318541997,0.011292647765497358
vl2a,0.022244466688911134,0.036163522012578615,0.025787965616045842,0.01544943820224719,0.013408820023837904,0.01822503961965135,0.030033637674195098
dl5,0.014236458680903124,0.036163522012578615,0.04011461318051576,0.023876404494382025,0.010131108462455305,0.014263074484944531,0.017539644401729938
va5,0.01790679568457346,0.028301886792452827,0.0329512893982808,0.025280898876404494,0.009833134684147796,0.015055467511885896,0.026189332051898124
va7m,0.0235791346902458,0.014150943396226414,0.02148997134670487,0.021067415730337078,0.016090584028605484,0.0213946117274168,0.030754444978375782
dm4,0.030697364030697363,0.006289308176100628,0.007163323782234957,0.009831460674157305,0.04707985697258642,0.030110935023771792,0.017299375300336376
vm5v,0.014014014014014012,0.036163522012578615,0.027220630372492834,0.023876404494382025,0.008045292014302742,0.014263074484944531,0.01850072080730418
vc3m,0.026248470692915134,0.0,0.02005730659025788,0.01966292134831461,0.019666269368295592,0.022979397781299524,0.03171552138395003
va1d,0.013013013013013011,0.03773584905660377,0.025787965616045842,0.026685393258426966,0.01162097735399285,0.004754358161648178,0.017059106198942815
vc4,0.021354688021354686,0.014150943396226414,0.011461318051575931,0.023876404494382025,0.01728247914183552,0.022979397781299524,0.0245074483421432
va4,0.024580135691246802,0.015723270440251572,0.01002865329512894,0.009831460674157305,0.03158522050059595,0.022979397781299524,0.019221528111484865
dm5,0.019686353019686353,0.006289308176100628,0.022922636103151862,0.02247191011235955,0.0297973778307509,0.01584786053882726,0.01201345506967804
dm3,0.022466911355800243,0.006289308176100628,0.011461318051575931,0.008426966292134831,0.030691299165673425,0.02218700475435816,0.014896684286400768
va1v,0.010121232343454566,0.0330188679245283,0.027220630372492834,0.018258426966292134,0.009535160905840286,0.004754358161648178,0.012493993272465162
d,0.01746190635079524,0.011006289308176102,0.015759312320916905,0.023876404494382025,0.011323003575685341,0.008716323296354992,0.025708793849111
dl2d,0.019686353019686353,0.006289308176100628,0.011461318051575931,0.01544943820224719,0.01787842669845054,0.01664025356576862,0.020663142719846227
vc2,0.016905794683572457,0.014150943396226414,0.007163323782234957,0.009831460674157305,0.01489868891537545,0.0213946117274168,0.017539644401729938
vc5,0.015348682015348681,0.006289308176100628,0.015759312320916905,0.018258426966292134,0.010131108462455305,0.017432646592709985,0.01850072080730418
vm3,0.01657212768323879,0.006289308176100628,0.014326647564469913,0.009831460674157305,0.021752085816448153,0.0213946117274168,0.011532916866890917
vm7d,0.010899788677566455,0.026729559748427674,0.011461318051575931,0.01966292134831461,0.012514898688915378,0.010301109350237718,0.009851033157135992
vm2,0.015793571349126904,0.003144654088050314,0.01002865329512894,0.016853932584269662,0.0199642431466031,0.01664025356576862,0.01201345506967804
dl2v,0.014458903347792235,0.003144654088050314,0.014326647564469913,0.012640449438202247,0.01698450536352801,0.022979397781299524,0.00913022585295531
vc1,0.013124235346457567,0.015723270440251572,0.007163323782234957,0.01404494382022472,0.006555423122765197,0.017432646592709985,0.017539644401729938
v,0.018796574352129905,0.003144654088050314,0.0014326647564469914,0.0,0.017580452920143028,0.03486529318541997,0.014416146083613647
va7l,0.014125236347458568,0.007861635220125786,0.01002865329512894,0.01544943820224719,0.00893921334922527,0.00792393026941363,0.019942335415665546
vm4,0.010677344010677343,0.012578616352201257,0.012893982808022921,0.01966292134831461,0.006853396901072706,0.006339144215530903,0.014896684286400768
vm1,0.008675342008675343,0.020440251572327043,0.008595988538681947,0.011235955056179775,0.006853396901072706,0.010301109350237718,0.00937049495434887
dl3,0.004226448670893114,0.018867924528301886,0.017191977077363894,0.01544943820224719,0.005363528009535161,0.003961965134706815,0.0036040365209034117
dc4,0.006117228339450561,0.006289308176100628,0.017191977077363894,0.018258426966292134,0.006257449344457689,0.003961965134706815,0.006967803940413263
vm7v,0.009898787676565454,0.0047169811320754715,0.0057306590257879654,0.012640449438202247,0.012216924910607867,0.00554675118858954,0.00913022585295531
da2,0.014347681014347679,0.0047169811320754715,0.0014326647564469914,0.0014044943820224719,0.007151370679380215,0.00792393026941363,0.022345026429601154
da4l,0.008786564342119897,0.009433962264150943,0.008595988538681947,0.0056179775280898875,0.005959475566150179,0.00554675118858954,0.0122537241710716
dl4,0.004004004004004004,0.009433962264150943,0.0057306590257879654,0.0056179775280898875,0.0014898688915375448,0.002377179080824089,0.006727534839019701
vl1,0.004115226337448559,0.0,0.0028653295128939827,0.0056179775280898875,0.0002979737783075089,0.00792393026941363,0.006246996636232581
da4m,0.0032254476698921138,0.003144654088050314,0.0014326647564469914,0.0056179775280898875,0.0014898688915375448,0.002377179080824089,0.004805382027871216
da3,0.0037815593371148927,0.0,0.0014326647564469914,0.0028089887640449437,0.0038736591179976167,0.006339144215530903,0.0026429601153291687
