,component,variance explained Orco+,variance explained Orco+_fixed,confidence interval lower,confidence interval higher
0,0,0.06722351061253194,0.06084520014872047,0.006629242159432808,0.008465939547260284
1,1,0.05790421059972106,0.054225566148575266,0.005261493313600929,0.005599582850325677
2,2,0.051312596123766346,0.049568955290312924,0.004433627711609961,0.004661657386868377
3,3,0.04786882235681353,0.045745108267396944,0.003506002846604059,0.003991085379438222
4,4,0.04563071302804174,0.04254592915694079,0.00292717103763767,0.003209097804750788
5,5,0.0384842004422715,0.039970650557778445,0.0024629349990931693,0.0029815542572307827
6,6,0.0349987160782931,0.037851737052675374,0.0023117030308629494,0.002700955859644971
7,7,0.0344670720383876,0.03590933494878352,0.0021001827374122622,0.0022093203241824316
8,8,0.03304538491969695,0.03422269513213129,0.0020369747934389504,0.0022179234719324897
9,9,0.03095846829882649,0.032632128006538565,0.0017687883192437845,0.0018718002977869824
10,10,0.03010818259189021,0.031142668500409854,0.0016643001611051506,0.0017993393685674618
11,11,0.029038803154504588,0.029790425953510325,0.0014743683261653762,0.0016023397269716265
12,12,0.028106715499627784,0.0285253707610786,0.0014810317896566533,0.0016007194626955316
13,13,0.026237133014402402,0.027289062273215568,0.0015022382910003934,0.0015958416771607899
14,14,0.025434543736729365,0.02616851852614555,0.0013733481229710187,0.0015136498753301857
15,15,0.02440482461816095,0.025077181020398322,0.0013383334325126547,0.001371055650261497
16,16,0.02358628437531225,0.024026902451491555,0.00138131427583622,0.0013486736836268547
17,17,0.0215677775269035,0.023027562854135673,0.0012150446390576213,0.0013107673819827519
18,18,0.021071640099277242,0.022082248326696564,0.0012829297956363783,0.0013687653729848488
19,19,0.020643473292536237,0.021147855389339085,0.0010786303157219873,0.0012857368120866401
