,component,variance explained Orco-,variance explained Orco+_fixed,confidence interval lower,confidence interval higher
0,0,0.0726609846526,0.06062426367757995,0.00660281543141291,0.007705347035757912
1,1,0.05689762206628948,0.054211048524556396,0.005029478696716189,0.005790847678975537
2,2,0.05251612864170739,0.049539213733872565,0.0040307930333020325,0.005022730931503232
3,3,0.04859383778747596,0.0457652189971258,0.0033966873532088535,0.004069521604235307
4,4,0.04352412750373957,0.04281477020309003,0.002980270765628651,0.0031875214712173
5,5,0.04006650825477179,0.04022623032433186,0.0026565976708768993,0.002968078088527115
6,6,0.039377105680215886,0.03792627889002279,0.0023975114397003228,0.002521162326662149
7,7,0.03781774799754089,0.03593843777728852,0.0021029008183433215,0.0023526283719012206
8,8,0.035474001328954924,0.034202767633160616,0.0019276750126253558,0.0020576679490378266
9,9,0.03395568762305505,0.03260711995407669,0.001748521295509023,0.001864075324055331
10,10,0.0315937132482142,0.031146181762333296,0.0016673249664440094,0.0017911233019115846
11,11,0.029367330139781163,0.029815000361199166,0.0015865990863597641,0.001692061841504531
12,12,0.029152875072897412,0.028529947677599497,0.0015512662845719623,0.0016266809224590381
13,13,0.02884707804237335,0.027325193006586482,0.001482248785122632,0.0015018120518654685
14,14,0.026175013108483452,0.026155661973802438,0.0014466284529422203,0.0014918221049144836
15,15,0.02559937955113523,0.0250656451412177,0.0013146364764914827,0.0013195761129605674
16,16,0.023662476636445877,0.024017151143818326,0.001239040913307881,0.0013943806224929224
17,17,0.022457711439047116,0.023018082918138737,0.0012834216665575104,0.0013268095213611435
18,18,0.021364540801691194,0.02204536751438336,0.0011997315108738492,0.0012597749992088146
19,19,0.02089422139638044,0.021133051981466366,0.0011957657763123075,0.001220006693226517
